;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 64: ;6.4;1,01E+16;delegado 64: ;10.1;9,11E+14;delegado 64: ;6.2;9.43E+07;delegado 64: ;5.0;1,07E+16;delegado 64: ;9.4;1,01E+16;delegado 64: ;2.6;9,36E+14;delegado 64: ;3.0;9,98E+14;delegado 64: ;4.4;9,17E+13;delegado 64: ;4.9;9,74E+14
delegado 65: ;6.4;9,96E+14;delegado 65: ;10.1;9,27E+13;delegado 65: ;6.2;9.43E+07;delegado 65: ;5.0;1,03E+16;delegado 65: ;9.4;1,00E+16;delegado 65: ;2.6;9,37E+14;delegado 65: ;3.0;1,05E+16;delegado 65: ;4.4;9,43E+14;delegado 65: ;4.9;1,00E+16
delegado 66: ;6.4;9,93E+14;delegado 66: ;10.1;9,12E+14;delegado 66: ;6.2;9.49E+07;delegado 66: ;5.0;1,03E+16;delegado 66: ;9.4;1,02E+16;delegado 66: ;2.6;9,36E+14;delegado 66: ;3.0;9,71E+13;delegado 66: ;4.4;9,95E+14;delegado 66: ;4.9;1,00E+16
delegado 67: ;9.4;9,97E+14;delegado 67: ;6.6;9,11E+14;delegado 67: ;5.1;9.21E+07;delegado 67: ;7.5;1,18E+16;delegado 67: ;7.3;1,00E+16;delegado 67: ;2.5;9,36E+14;delegado 67: ;3.4;9,94E+14;delegado 67: ;2.1;9,81E+14;delegado 67: ;4.9;9,80E+14
delegado 68: ;9.4;9,91E+14;delegado 68: ;6.6;9,03E+14;delegado 68: ;5.1;9.31E+07;delegado 68: ;7.5;1,19E+16;delegado 68: ;7.3;1,03E+16;delegado 68: ;2.5;9,36E+14;delegado 68: ;3.4;1,05E+16;delegado 68: ;2.1;9,09E+14;delegado 68: ;4.9;9,69E+13
delegado 69: ;9.4;9,92E+14;delegado 69: ;6.6;9,05E+14;delegado 69: ;5.1;9.12E+07;delegado 69: ;7.5;1,21E+15;delegado 69: ;7.3;9,77E+14;delegado 69: ;2.5;9,22E+14;delegado 69: ;3.4;1,03E+16;delegado 69: ;2.1;8,78E+14;delegado 69: ;4.9;9,60E+14
delegado 70: ;11.4;9,71E+14;delegado 70: ;7.2;9,01E+14;delegado 70: ;6.5;9.05E+07;delegado 70: ;3.5;1,04E+16;delegado 70: ;5.4;9,82E+14;delegado 70: ;1.7;8,99E+14;delegado 70: ;1.6;9,27E+14;delegado 70: ;6.5;9,57E+14;delegado 70: ;8.6;9,63E+14
delegado 71: ;11.4;9,72E+14;delegado 71: ;7.2;9,03E+14;delegado 71: ;6.5;9.35E+07;delegado 71: ;3.5;1,21E+16;delegado 71: ;5.4;9,99E+13;delegado 71: ;1.7;9,27E+14;delegado 71: ;1.6;9,86E+14;delegado 71: ;6.5;1,06E+16;delegado 71: ;8.6;9,75E+14
delegado 72: ;11.4;9,78E+14;delegado 72: ;7.2;9,06E+14;delegado 72: ;6.5;9.30E+07;delegado 72: ;3.5;1,16E+16;delegado 72: ;5.4;9,72E+14;delegado 72: ;1.7;9,21E+14;delegado 72: ;1.6;1,01E+16;delegado 72: ;6.5;9,87E+14;delegado 72: ;8.6;9,88E+14
delegado 73: ;8.3;9,71E+14;delegado 73: ;9.1;1,06E+16;delegado 73: ;0.7;9.33E+07;delegado 73: ;3.7;1,04E+16;delegado 73: ;7.6;9,83E+14;delegado 73: ;0.3;9,02E+14;delegado 73: ;2.2;1,01E+16;delegado 73: ;2.0;9,76E+14;delegado 73: ;3.1;9,53E+14
