;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 234: ;4.2;9,14E+14;delegado 234: ;5.5;9,22E+14;delegado 234: ;14;8.65E+07;delegado 234: ;6.5;1,01E+15;delegado 234: ;6.1;9,28E+14;delegado 234: ;2.2;9,40E+14;delegado 234: ;4.4;8,93E+13;delegado 234: ;6.9;8,91E+13;delegado 234: ;2.9;9,44E+14
delegado 235: ;2.0;9,34E+13;delegado 235: ;5.7;9,29E+14;delegado 235: ;3.1;8.41E+07;delegado 235: ;10.2;1,00E+15;delegado 235: ;2.0;9,35E+14;delegado 235: ;1.7;9,43E+14;delegado 235: ;4.3;1,03E+16;delegado 235: ;8.2;9,04E+13;delegado 235: ;2.3;9,45E+14
delegado 236: ;2.0;9,36E+14;delegado 236: ;5.7;9,31E+14;delegado 236: ;3.1;8.36E+07;delegado 236: ;10.2;1,00E+16;delegado 236: ;2.0;9,18E+14;delegado 236: ;1.7;9,46E+14;delegado 236: ;4.3;8,82E+14;delegado 236: ;8.2;9,32E+14;delegado 236: ;2.3;9,28E+14
delegado 237: ;2.0;9,03E+14;delegado 237: ;5.7;9,19E+14;delegado 237: ;3.1;8.26E+07;delegado 237: ;10.2;9,99E+14;delegado 237: ;2.0;9,42E+14;delegado 237: ;1.7;9,50E+14;delegado 237: ;4.3;8,94E+14;delegado 237: ;8.2;9,16E+14;delegado 237: ;2.3;9,24E+14
delegado 238: ;6.9;9,03E+14;delegado 238: ;6.7;9,32E+14;delegado 238: ;5.4;8.44E+07;delegado 238: ;11.4;9,70E+14;delegado 238: ;0.0;9,05E+14;delegado 238: ;0.9;9,28E+14;delegado 238: ;3.3;1,01E+16;delegado 238: ;8.2;9,13E+14;delegado 238: ;2.3;9,50E+14
delegado 239: ;6.9;8,96E+14;delegado 239: ;6.7;1,22E+16;delegado 239: ;5.4;8.40E+07;delegado 239: ;11.4;9,85E+14;delegado 239: ;0.0;9,16E+14;delegado 239: ;0.9;9,16E+14;delegado 239: ;3.3;1,01E+16;delegado 239: ;8.2;9,17E+14;delegado 239: ;2.3;9,29E+14
delegado 240: ;6.9;9,09E+14;delegado 240: ;6.7;9,16E+14;delegado 240: ;5.4;8.60E+07;delegado 240: ;11.4;9,70E+14;delegado 240: ;0.0;9,13E+14;delegado 240: ;0.9;9,23E+14;delegado 240: ;3.3;1,03E+16;delegado 240: ;8.2;8,97E+14;delegado 240: ;2.3;9,29E+14
delegado 241: ;5.5;9,08E+14;delegado 241: ;9.1;9,08E+13;delegado 241: ;8.6;8.27E+07;delegado 241: ;3.5;9,98E+14;delegado 241: ;0.7;8,92E+14;delegado 241: ;2.1;9,28E+14;delegado 241: ;3.1;1,04E+16;delegado 241: ;4.4;8,89E+14;delegado 241: ;2.5;9,16E+14
delegado 242: ;5.5;9,15E+14;delegado 242: ;9.1;9,04E+14;delegado 242: ;8.6;8.25E+07;delegado 242: ;3.5;9,94E+14;delegado 242: ;0.7;9,01E+14;delegado 242: ;2.1;9,03E+14;delegado 242: ;3.1;1,04E+16;delegado 242: ;4.4;9,03E+14;delegado 242: ;2.5;9,20E+14
delegado 243: ;5.5;9,26E+14;delegado 243: ;9.1;9,11E+14;delegado 243: ;8.6;8.50E+07;delegado 243: ;3.5;9,44E+14;delegado 243: ;0.7;8,90E+14;delegado 243: ;2.1;9,00E+14;delegado 243: ;3.1;1,01E+16;delegado 243: ;4.4;9,15E+14;delegado 243: ;2.5;9,07E+14
delegado 244: ;8.3;9,32E+13;delegado 244: ;9.1;9,09E+14;delegado 244: ;6.2;8.40E+07;delegado 244: ;1.3;9,62E+14;delegado 244: ;4.8;9,23E+14;delegado 244: ;1.3;9,22E+14;delegado 244: ;7.5;1,01E+16;delegado 244: ;8.3;9,07E+14;delegado 244: ;2.3;9,12E+14
delegado 245: ;8.3;9,11E+14;delegado 245: ;9.1;8,83E+14;delegado 245: ;6.2;8.24E+07;delegado 245: ;1.3;9,46E+14;delegado 245: ;4.8;9,15E+14;delegado 245: ;1.3;9,24E+14;delegado 245: ;7.5;1,01E+15;delegado 245: ;8.3;9,08E+14;delegado 245: ;2.3;9,16E+14
delegado 246: ;8.3;9,27E+14;delegado 246: ;9.1;1,03E+16;delegado 246: ;6.2;8.37E+07;delegado 246: ;1.3;9,47E+14;delegado 246: ;4.8;9,14E+14;delegado 246: ;1.3;9,45E+13;delegado 246: ;7.5;1,01E+16;delegado 246: ;8.3;9,14E+14;delegado 246: ;2.3;9,21E+13
delegado 247: ;8.0;9,25E+14;delegado 247: ;9.4;8,85E+14;delegado 247: ;6;8.26E+07;delegado 247: ;5.6;9,47E+13;delegado 247: ;2.3;9,15E+14;delegado 247: ;4.5;9,37E+14;delegado 247: ;9.7;1,01E+16;delegado 247: ;7.6;9,32E+14;delegado 247: ;2.2;1,05E+16
delegado 248: ;8.0;8,96E+14;delegado 248: ;9.4;8,90E+12;delegado 248: ;6;8.27E+07;delegado 248: ;5.6;9,42E+14;delegado 248: ;2.3;9,08E+14;delegado 248: ;4.5;9,25E+14;delegado 248: ;9.7;9,21E+14;delegado 248: ;7.6;9,16E+14;delegado 248: ;2.2;8,92E+13
delegado 249: ;8.0;8,97E+14;delegado 249: ;9.4;8,91E+14;delegado 249: ;6;8.60E+07;delegado 249: ;5.6;9,27E+14;delegado 249: ;2.3;9,06E+14;delegado 249: ;4.5;9,43E+14;delegado 249: ;9.7;9,79E+13;delegado 249: ;7.6;8,96E+13;delegado 249: ;2.2;8,87E+14
delegado 250: ;6.3;8,88E+14;delegado 250: ;11.1;1,02E+15;delegado 250: ;6.2;8.23E+07;delegado 250: ;4.5;9,01E+14;delegado 250: ;2.4;9,03E+14;delegado 250: ;4.1;9,19E+14;delegado 250: ;4.7;9,84E+13;delegado 250: ;5.8;9,05E+14;delegado 250: ;2.8;1,05E+16
delegado 251: ;6.3;9,06E+14;delegado 251: ;11.1;1,04E+16;delegado 251: ;6.2;8.28E+07;delegado 251: ;4.5;9,05E+14;delegado 251: ;2.4;8,90E+14;delegado 251: ;4.1;1,05E+16;delegado 251: ;4.7;9,80E+14;delegado 251: ;5.8;1,04E+16;delegado 251: ;2.8;9,05E+13
delegado 252: ;6.3;8,99E+14;delegado 252: ;11.1;1,01E+16;delegado 252: ;6.2;8.53E+07;delegado 252: ;4.5;9,07E+14;delegado 252: ;2.4;8,93E+14;delegado 252: ;4.1;9,03E+14;delegado 252: ;4.7;9,71E+14;delegado 252: ;5.8;1,04E+16;delegado 252: ;2.8;1,03E+16
delegado 253: ;6.1;9,02E+14;delegado 253: ;5.9;1,02E+16;delegado 253: ;5.4;8.44E+07;delegado 253: ;5.0;9,12E+14;delegado 253: ;1.6;9,13E+14;delegado 253: ;21.6;8,96E+13;delegado 253: ;31.9;9,52E+14;delegado 253: ;5.6;8,94E+14;delegado 253: ;3.4;1,04E+16
delegado 254: ;6.1;1,03E+16;delegado 254: ;5.9;1,02E+16;delegado 254: ;5.4;8.20E+07;delegado 254: ;5.0;1,03E+15;delegado 254: ;1.6;9,08E+14;delegado 254: ;21.6;1,03E+16;delegado 254: ;31.9;9,53E+13;delegado 254: ;5.6;1,03E+16;delegado 254: ;3.4;1,02E+16
delegado 255: ;6.1;8,76E+14;delegado 255: ;5.9;1,00E+16;delegado 255: ;5.4;8.31E+07;delegado 255: ;5.0;1,05E+16;delegado 255: ;1.6;1,04E+16;delegado 255: ;21.6;1,03E+15;delegado 255: ;31.9;9,79E+14;delegado 255: ;5.6;1,03E+16;delegado 255: ;3.4;1,04E+16
delegado 256: ;7.0;1,03E+15;delegado 256: ;10.5;9,86E+14;delegado 256: ;2.7;8.56E+07;delegado 256: ;3.3;8,86E+14;delegado 256: ;1.9;1,04E+16;delegado 256: ;14.1;1,01E+16;delegado 256: ;11.0;9,70E+14;delegado 256: ;10.8;1,02E+16;delegado 256: ;1.5;1,03E+16
delegado 257: ;7.0;1,03E+16;delegado 257: ;10.5;9,90E+14;delegado 257: ;2.7;8.43E+07;delegado 257: ;3.3;9,00E+14;delegado 257: ;1.9;1,03E+16;delegado 257: ;14.1;1,01E+16;delegado 257: ;11.0;9,53E+14;delegado 257: ;10.8;1,02E+16;delegado 257: ;1.5;1,02E+16
delegado 258: ;7.0;8,84E+14;delegado 258: ;10.5;9,91E+14;delegado 258: ;2.7;8.51E+07;delegado 258: ;3.3;9,04E+14;delegado 258: ;1.9;1,05E+16;delegado 258: ;14.1;1,01E+16;delegado 258: ;11.0;9,58E+14;delegado 258: ;10.8;1,04E+16;delegado 258: ;1.5;1,01E+15
delegado 259: ;5.6;1,02E+16;delegado 259: ;9.4;9,97E+14;delegado 259: ;6.2;9.12E+07;delegado 259: ;0.9;1,06E+16;delegado 259: ;1.6;9,49E+12;delegado 259: ;10.5;1,00E+16;delegado 259: ;3.8;9,52E+14;delegado 259: ;7.8;1,01E+15;delegado 259: ;3.1;1,01E+16
delegado 260: ;5.6;1,02E+16;delegado 260: ;9.4;9,97E+13;delegado 260: ;6.2;9.27E+07;delegado 260: ;0.9;1,02E+16;delegado 260: ;1.6;9,50E+13;delegado 260: ;10.5;1,00E+16;delegado 260: ;3.8;9,35E+14;delegado 260: ;7.8;1,01E+16;delegado 260: ;3.1;1,02E+16
delegado 261: ;5.6;1,02E+16;delegado 261: ;9.4;9,66E+14;delegado 261: ;6.2;9.02E+07;delegado 261: ;0.9;1,01E+16;delegado 261: ;1.6;9,55E+14;delegado 261: ;10.5;9,87E+14;delegado 261: ;3.8;9,43E+14;delegado 261: ;7.8;9,90E+14;delegado 261: ;3.1;1,01E+16
delegado 262: ;8.7;1,02E+16;delegado 262: ;9.3;9,66E+14;delegado 262: ;0.9;9.24E+07;delegado 262: ;4.0;1,01E+16;delegado 262: ;4.4;9,43E+14;delegado 262: ;12.2;9,09E+14;delegado 262: ;3.7;9,68E+14;delegado 262: ;8.1;1,00E+16;delegado 262: ;1.9;9,19E+14
delegado 263: ;8.7;1,03E+16;delegado 263: ;9.3;9,67E+14;delegado 263: ;0.9;9.19E+07;delegado 263: ;4.0;1,01E+16;delegado 263: ;4.4;9,74E+14;delegado 263: ;12.2;9,09E+14;delegado 263: ;3.7;9,68E+14;delegado 263: ;8.1;1,00E+16;delegado 263: ;1.9;9,36E+14
delegado 264: ;8.7;1,00E+16;delegado 264: ;9.3;9,70E+14;delegado 264: ;0.9;8.92E+07;delegado 264: ;4.0;1,01E+16;delegado 264: ;4.4;9,58E+14;delegado 264: ;12.2;9,15E+14;delegado 264: ;3.7;9,34E+14;delegado 264: ;8.1;9,82E+14;delegado 264: ;1.9;9,42E+14
delegado 265: ;8.0;1,16E+16;delegado 265: ;5.9;9,76E+14;delegado 265: ;6.2;1.05E+08;delegado 265: ;3.1;9,85E+14;delegado 265: ;10.0;9,33E+14;delegado 265: ;2.3;9,09E+14;delegado 265: ;1.6;9,28E+13;delegado 265: ;7.6;9,95E+14;delegado 265: ;1.7;9,36E+14
delegado 266: ;8.0;1,01E+16;delegado 266: ;5.9;9,44E+14;delegado 266: ;6.2;1.04E+08;delegado 266: ;3.1;9,65E+14;delegado 266: ;10.0;9,40E+13;delegado 266: ;2.3;8,98E+14;delegado 266: ;1.6;9,25E+14;delegado 266: ;7.6;9,88E+13;delegado 266: ;1.7;9,43E+13
delegado 267: ;8.0;1,01E+16;delegado 267: ;5.9;9,52E+14;delegado 267: ;6.2;8.96E+07;delegado 267: ;3.1;9,87E+14;delegado 267: ;10.0;9,64E+14;delegado 267: ;2.3;1,02E+16;delegado 267: ;1.6;9,37E+14;delegado 267: ;7.6;9,23E+14;delegado 267: ;1.7;1,02E+16
delegado 268: ;10.6;1,01E+16;delegado 268: ;8.2;9,55E+13;delegado 268: ;4.8;9.07E+07;delegado 268: ;1.7;9,90E+14;delegado 268: ;3.2;9,57E+14;delegado 268: ;9.5;1,02E+16;delegado 268: ;2.4;9,30E+14;delegado 268: ;7.3;9,41E+14;delegado 268: ;1.0;1,02E+16
delegado 269: ;10.6;9,93E+14;delegado 269: ;8.2;9,54E+14;delegado 269: ;4.8;9.05E+07;delegado 269: ;1.7;9,79E+14;delegado 269: ;3.2;9,40E+14;delegado 269: ;9.5;9,91E+14;delegado 269: ;2.4;9,05E+14;delegado 269: ;7.3;9,37E+14;delegado 269: ;1.0;1,02E+16
delegado 270: ;10.6;9,86E+14;delegado 270: ;8.2;9,52E+14;delegado 270: ;4.8;9.14E+07;delegado 270: ;1.7;9,71E+14;delegado 270: ;3.2;9,75E+14;delegado 270: ;9.5;1,01E+16;delegado 270: ;2.4;8,85E+14;delegado 270: ;7.3;9,22E+14;delegado 270: ;1.0;1,02E+16
delegado 271: ;7.6;1,01E+16;delegado 271: ;11.2;9,51E+14;delegado 271: ;1.9;9.36E+07;delegado 271: ;2.3;9,50E+14;delegado 271: ;1.9;9,34E+13;delegado 271: ;4.4;1,01E+16;delegado 271: ;2.0;8,91E+14;delegado 271: ;7.2;9,41E+14;delegado 271: ;1.3;1,02E+16
delegado 272: ;7.6;1,01E+16;delegado 272: ;11.2;9,33E+14;delegado 272: ;1.9;9.41E+07;delegado 272: ;2.3;9,63E+13;delegado 272: ;1.9;9,44E+14;delegado 272: ;4.4;9,89E+13;delegado 272: ;2.0;9,08E+14;delegado 272: ;7.2;9,17E+14;delegado 272: ;1.3;1,02E+16
delegado 273: ;7.6;9,99E+14;delegado 273: ;11.2;9,31E+14;delegado 273: ;1.9;9.47E+07;delegado 273: ;2.3;9,55E+14;delegado 273: ;1.9;9,22E+14;delegado 273: ;4.4;1,02E+15;delegado 273: ;2.0;8,94E+14;delegado 273: ;7.2;9,10E+14;delegado 273: ;1.3;9,91E+14
delegado 274: ;6.4;9,38E+14;delegado 274: ;8.0;9,45E+14;delegado 274: ;0.4;9.27E+07;delegado 274: ;6.4;9,51E+14;delegado 274: ;0.7;9,16E+14;delegado 274: ;8.6;9,98E+14;delegado 274: ;2.8;9,19E+14;delegado 274: ;5.6;9,20E+14;delegado 274: ;2.0;9,83E+14
delegado 275: ;6.4;9,34E+14;delegado 275: ;8.0;9,29E+14;delegado 275: ;0.4;9.05E+07;delegado 275: ;6.4;9,71E+14;delegado 275: ;0.7;9,30E+14;delegado 275: ;8.6;9,17E+14;delegado 275: ;2.8;9,25E+14;delegado 275: ;5.6;9,04E+13;delegado 275: ;2.0;1,00E+14
delegado 276: ;6.4;9,17E+14;delegado 276: ;8.0;9,37E+14;delegado 276: ;0.4;8.88E+07;delegado 276: ;6.4;9,59E+14;delegado 276: ;0.7;9,17E+14;delegado 276: ;8.6;9,99E+14;delegado 276: ;2.8;9,29E+13;delegado 276: ;5.6;8,98E+12;delegado 276: ;2.0;1,00E+15
delegado 277: ;6.9;9,31E+14;delegado 277: ;6.2;9,25E+14;delegado 277: ;2.3;8.98E+07;delegado 277: ;2.1;9,46E+14;delegado 277: ;2.4;9,23E+14;delegado 277: ;10.8;9,79E+14;delegado 277: ;3.0;9,25E+14;delegado 277: ;7.3;9,26E+14;delegado 277: ;1.8;1,00E+16
delegado 278: ;6.9;9,32E+14;delegado 278: ;6.2;9,29E+14;delegado 278: ;2.3;1.00E+08;delegado 278: ;2.1;9,52E+14;delegado 278: ;2.4;9,10E+14;delegado 278: ;10.8;9,32E+14;delegado 278: ;3.0;9,08E+14;delegado 278: ;7.3;9,12E+14;delegado 278: ;1.8;9,26E+14
delegado 279: ;6.9;9,07E+14;delegado 279: ;6.2;9,32E+14;delegado 279: ;2.3;9.89E+07;delegado 279: ;2.1;9,32E+14;delegado 279: ;2.4;9,18E+14;delegado 279: ;10.8;9,20E+14;delegado 279: ;3.0;9,40E+14;delegado 279: ;7.3;9,01E+14;delegado 279: ;1.8;9,43E+13
delegado 280: ;6.5;9,19E+14;delegado 280: ;4.9;9,25E+13;delegado 280: ;4.4;9.84E+07;delegado 280: ;1.0;9,52E+14;delegado 280: ;3.4;9,17E+14;delegado 280: ;5.7;9,41E+14;delegado 280: ;3.4;9,05E+14;delegado 280: ;8.7;8,91E+14;delegado 280: ;1.5;9,48E+14
delegado 281: ;6.5;9,05E+14;delegado 281: ;4.9;9,15E+14;delegado 281: ;4.4;8.72E+07;delegado 281: ;1.0;9,30E+14;delegado 281: ;3.4;9,24E+14;delegado 281: ;5.7;1,03E+16;delegado 281: ;3.4;9,11E+14;delegado 281: ;8.7;8,91E+14;delegado 281: ;1.5;9,41E+14
delegado 282: ;6.5;9,17E+13;delegado 282: ;4.9;9,22E+14;delegado 282: ;4.4;1.02E+08;delegado 282: ;1.0;9,08E+14;delegado 282: ;3.4;9,05E+14;delegado 282: ;5.7;1,04E+16;delegado 282: ;3.4;9,10E+14;delegado 282: ;8.7;8,89E+14;delegado 282: ;1.5;9,20E+14
delegado 283: ;7.3;9,11E+14;delegado 283: ;8.3;9,33E+14;delegado 283: ;3.4;1.03E+08;delegado 283: ;2.7;9,14E+14;delegado 283: ;3.1;8,92E+14;delegado 283: ;4.9;1,00E+16;delegado 283: ;2.6;9,00E+14;delegado 283: ;4.4;1,04E+15;delegado 283: ;1.7;9,00E+14
delegado 284: ;7.3;9,17E+14;delegado 284: ;8.3;9,18E+14;delegado 284: ;3.4;1.03E+08;delegado 284: ;2.7;9,25E+14;delegado 284: ;3.1;9,09E+14;delegado 284: ;4.9;9,99E+14;delegado 284: ;2.6;8,94E+14;delegado 284: ;4.4;1,03E+16;delegado 284: ;1.7;9,26E+14
delegado 285: ;7.3;9,06E+14;delegado 285: ;8.3;9,19E+14;delegado 285: ;3.4;1.03E+08;delegado 285: ;2.7;9,25E+13;delegado 285: ;3.1;8,95E+13;delegado 285: ;4.9;1,02E+16;delegado 285: ;2.6;9,18E+13;delegado 285: ;4.4;1,02E+16;delegado 285: ;1.7;9,28E+14
delegado 286: ;6.2;9,01E+14;delegado 286: ;8.3;9,10E+14;delegado 286: ;1.6;9.44E+07;delegado 286: ;1.7;9,27E+14;delegado 286: ;3.4;9,08E+13;delegado 286: ;4.2;1,01E+16;delegado 286: ;9.8;1,03E+16;delegado 286: ;8.0;1,04E+15;delegado 286: ;0.9;9,26E+14
delegado 287: ;6.2;9,21E+14;delegado 287: ;8.3;9,25E+14;delegado 287: ;1.6;1.03E+08;delegado 287: ;1.7;9,14E+14;delegado 287: ;3.4;8,95E+14;delegado 287: ;4.2;9,47E+14;delegado 287: ;9.8;1,03E+16;delegado 287: ;8.0;1,03E+16;delegado 287: ;0.9;9,30E+13
delegado 288: ;6.2;9,22E+14;delegado 288: ;8.3;8,91E+14;delegado 288: ;1.6;1.02E+08;delegado 288: ;1.7;9,26E+14;delegado 288: ;3.4;1,05E+16;delegado 288: ;4.2;9,84E+13;delegado 288: ;9.8;1,04E+16;delegado 288: ;8.0;1,03E+16;delegado 288: ;0.9;9,02E+14
delegado 289: ;6.6;9,14E+14;delegado 289: ;3.8;8,97E+14;delegado 289: ;3.1;1.02E+08;delegado 289: ;0.9;9,22E+14;delegado 289: ;0.3;1,04E+16;delegado 289: ;2.9;9,84E+14;delegado 289: ;9.9;8,79E+14;delegado 289: ;8.0;1,03E+16;delegado 289: ;3.6;9,12E+14
delegado 290: ;6.6;8,91E+14;delegado 290: ;3.8;9,06E+14;delegado 290: ;3.1;1.02E+08;delegado 290: ;0.9;9,22E+14;delegado 290: ;0.3;1,03E+16;delegado 290: ;2.9;1,02E+16;delegado 290: ;9.9;8,80E+14;delegado 290: ;8.0;1,01E+16;delegado 290: ;3.6;8,94E+14
delegado 291: ;6.6;8,92E+14;delegado 291: ;3.8;8,85E+13;delegado 291: ;3.1;9.95E+07;delegado 291: ;0.9;9,25E+14;delegado 291: ;0.3;9,05E+14;delegado 291: ;2.9;1,02E+16;delegado 291: ;9.9;1,04E+16;delegado 291: ;8.0;1,03E+16;delegado 291: ;3.6;8,98E+14
delegado 292: ;14.1;8,90E+14;delegado 292: ;4.1;9,02E+14;delegado 292: ;3.9;1.00E+08;delegado 292: ;2.3;8,83E+14;delegado 292: ;2.3;8,96E+14;delegado 292: ;2.8;9,92E+13;delegado 292: ;8.3;1,02E+16;delegado 292: ;6.3;1,02E+16;delegado 292: ;8.6;9,08E+14
delegado 293: ;14.1;8,91E+14;delegado 293: ;4.1;8,87E+14;delegado 293: ;3.9;1.03E+08;delegado 293: ;2.3;1,05E+16;delegado 293: ;2.3;1,04E+16;delegado 293: ;2.8;9,89E+14;delegado 293: ;8.3;1,02E+16;delegado 293: ;6.3;1,01E+16;delegado 293: ;8.6;9,00E+14
delegado 294: ;14.1;8,92E+14;delegado 294: ;4.1;9,31E+14;delegado 294: ;3.9;1.02E+08;delegado 294: ;2.3;1,03E+16;delegado 294: ;2.3;1,02E+16;delegado 294: ;2.8;1,00E+16;delegado 294: ;8.3;1,03E+16;delegado 294: ;6.3;1,00E+16;delegado 294: ;8.6;1,04E+16
delegado 295: ;8.7;9,10E+14;delegado 295: ;4.9;9,17E+14;delegado 295: ;3.7;9.06E+07;delegado 295: ;0.3;8,95E+13;delegado 295: ;6.2;1,02E+16;delegado 295: ;1.6;9,88E+14;delegado 295: ;5.0;1,02E+16;delegado 295: ;12.5;9,95E+14;delegado 295: ;6.9;8,88E+13
delegado 296: ;8.7;9,10E+14;delegado 296: ;4.9;9,22E+14;delegado 296: ;3.7;8.32E+07;delegado 296: ;0.3;9,02E+14;delegado 296: ;6.2;1,02E+16;delegado 296: ;1.6;1,01E+16;delegado 296: ;5.0;1,00E+14;delegado 296: ;12.5;9,98E+13;delegado 296: ;6.9;1,05E+16
delegado 297: ;8.7;1,07E+16;delegado 297: ;4.9;9,37E+14;delegado 297: ;3.7;8.38E+07;delegado 297: ;0.3;8,83E+14;delegado 297: ;6.2;1,02E+16;delegado 297: ;1.6;1,00E+15;delegado 297: ;5.0;1,02E+16;delegado 297: ;12.5;1,00E+16;delegado 297: ;6.9;1,03E+16
delegado 298: ;7.1;9,38E+13;delegado 298: ;2.3;9,17E+14;delegado 298: ;13.9;8.31E+07;delegado 298: ;2.7;1,04E+16;delegado 298: ;7.4;1,02E+16;delegado 298: ;2.4;1,04E+16;delegado 298: ;3.1;1,00E+16;delegado 298: ;5.9;1,01E+16;delegado 298: ;4.6;1,04E+16
delegado 299: ;7.1;9,17E+14;delegado 299: ;2.3;9,02E+14;delegado 299: ;13.9;8.69E+07;delegado 299: ;2.7;1,03E+16;delegado 299: ;7.4;1,02E+16;delegado 299: ;2.4;1,01E+16;delegado 299: ;3.1;1,02E+16;delegado 299: ;5.9;9,42E+14;delegado 299: ;4.6;1,02E+15
delegado 300: ;7.1;9,35E+14;delegado 300: ;2.3;8,75E+14;delegado 300: ;13.9;8.26E+07;delegado 300: ;2.7;1,04E+16;delegado 300: ;7.4;1,00E+16;delegado 300: ;2.4;9,55E+14;delegado 300: ;3.1;1,03E+16;delegado 300: ;5.9;9,22E+14;delegado 300: ;4.6;1,02E+16
delegado 301: ;7.1;9,30E+14;delegado 301: ;7.7;9,16E+14;delegado 301: ;11.5;8.29E+07;delegado 301: ;2.1;1,03E+16;delegado 301: ;6.9;1,01E+16;delegado 301: ;1.3;9,92E+14;delegado 301: ;2.3;1,03E+15;delegado 301: ;8.0;9,32E+14;delegado 301: ;8.0;1,02E+16
delegado 302: ;7.1;1,08E+14;delegado 302: ;7.7;8,99E+14;delegado 302: ;11.5;8.29E+07;delegado 302: ;2.1;1,04E+16;delegado 302: ;6.9;1,00E+16;delegado 302: ;1.3;8,80E+13;delegado 302: ;2.3;1,02E+15;delegado 302: ;8.0;9,35E+14;delegado 302: ;8.0;1,03E+16
delegado 303: ;7.1;9,31E+14;delegado 303: ;7.7;9,16E+14;delegado 303: ;11.5;8.82E+07;delegado 303: ;2.1;1,01E+15;delegado 303: ;6.9;9,88E+14;delegado 303: ;1.3;9,02E+14;delegado 303: ;2.3;9,53E+14;delegado 303: ;8.0;9,39E+14;delegado 303: ;8.0;1,02E+15
delegado 304: ;6.4;9,47E+14;delegado 304: ;5.1;8,97E+14;delegado 304: ;16.9;8.35E+07;delegado 304: ;2.7;1,01E+16;delegado 304: ;5.7;1,01E+16;delegado 304: ;4.3;9,89E+14;delegado 304: ;4.4;1,02E+16;delegado 304: ;5.1;9,15E+14;delegado 304: ;10.0;9,97E+14
delegado 305: ;6.4;9,38E+14;delegado 305: ;5.1;9,22E+14;delegado 305: ;16.9;8.42E+07;delegado 305: ;2.7;1,01E+16;delegado 305: ;5.7;9,86E+14;delegado 305: ;4.3;9,94E+14;delegado 305: ;4.4;9,82E+14;delegado 305: ;5.1;9,25E+14;delegado 305: ;10.0;9,97E+14
delegado 306: ;6.4;9,34E+14;delegado 306: ;5.1;9,17E+14;delegado 306: ;16.9;8.31E+07;delegado 306: ;2.7;1,02E+16;delegado 306: ;5.7;1,01E+16;delegado 306: ;4.3;1,00E+16;delegado 306: ;4.4;1,01E+16;delegado 306: ;5.1;9,27E+14;delegado 306: ;10.0;1,02E+16
delegado 307: ;5.1;9,16E+14;delegado 307: ;11.8;9,22E+14;delegado 307: ;17.4;8.35E+07;delegado 307: ;3.1;1,01E+15;delegado 307: ;7.2;1,00E+14;delegado 307: ;10.7;8,96E+14;delegado 307: ;5.5;1,02E+16;delegado 307: ;6.7;9,16E+14;delegado 307: ;7.4;1,00E+16
delegado 308: ;5.1;9,25E+14;delegado 308: ;11.8;9,39E+14;delegado 308: ;17.4;8.40E+07;delegado 308: ;3.1;9,97E+14;delegado 308: ;7.2;9,91E+14;delegado 308: ;10.7;9,58E+14;delegado 308: ;5.5;1,01E+16;delegado 308: ;6.7;9,26E+14;delegado 308: ;7.4;9,96E+13
delegado 309: ;5.1;9,20E+14;delegado 309: ;11.8;9,37E+14;delegado 309: ;17.4;8.25E+07;delegado 309: ;3.1;9,76E+14;delegado 309: ;7.2;9,78E+14;delegado 309: ;10.7;1,01E+16;delegado 309: ;5.5;9,90E+14;delegado 309: ;6.7;9,26E+14;delegado 309: ;7.4;1,00E+16
delegado 310: ;8.3;9,26E+14;delegado 310: ;3.7;8,92E+14;delegado 310: ;13.8;8.29E+07;delegado 310: ;4.3;9,80E+13;delegado 310: ;6.6;9,78E+14;delegado 310: ;11.8;1,01E+16;delegado 310: ;7.7;9,94E+14;delegado 310: ;9.8;8,94E+14;delegado 310: ;8.7;9,89E+14
delegado 311: ;8.3;9,32E+14;delegado 311: ;3.7;8,98E+14;delegado 311: ;13.8;8.41E+07;delegado 311: ;4.3;1,01E+16;delegado 311: ;6.6;9,76E+13;delegado 311: ;11.8;1,05E+16;delegado 311: ;7.7;1,04E+16;delegado 311: ;9.8;1,05E+16;delegado 311: ;8.7;9,96E+13
delegado 312: ;8.3;8,99E+14;delegado 312: ;3.7;8,88E+13;delegado 312: ;13.8;8.30E+07;delegado 312: ;4.3;9,86E+14;delegado 312: ;6.6;9,74E+14;delegado 312: ;11.8;9,53E+14;delegado 312: ;7.7;9,46E+14;delegado 312: ;9.8;8,97E+14;delegado 312: ;8.7;9,99E+14
delegado 313: ;7.0;9,07E+14;delegado 313: ;6.7;9,14E+14;delegado 313: ;9;8.22E+07;delegado 313: ;8.7;9,14E+14;delegado 313: ;9.3;9,81E+14;delegado 313: ;4.3;9,80E+14;delegado 313: ;6.4;1,02E+16;delegado 313: ;12.4;8,97E+14;delegado 313: ;7.2;1,01E+16
